;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CATALOGO DE LIBROS DE LA FISI;;;;;;;;;;;;;;;;;;;;;;;;
;Nº;TITULO;AUTOR;CLASIFICACION;AÑO;;;;;;;;;;;;;;;;;;;;;
;126;Insercion del el mercado laboral del egresado sanmarquino;Oficina Tecnica del Estudiante;HD5761.A6.159;2009;;;;;;;;;;;;;;;;;;;;;
;127;Comportamiento organizacional;Stephen P. Robbins;HD58.7.R71;2013;;;;;;;;;;;;;;;;;;;;;
;128;Innovación y gestión del conocimiento;Roberto Carballo;HD58.8.C29;2006;;;;;;;;;;;;;;;;;;;;;
;129;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;HD69.58.V39;2000;;;;;;;;;;;;;;;;;;;;;
;130;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;HD69.58.V39;2000;;;;;;;;;;;;;;;;;;;;;
;131;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;HD69.58.V39;2000;;;;;;;;;;;;;;;;;;;;;
;132;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;HD69.58.V39;2000;;;;;;;;;;;;;;;;;;;;;
;133;Formulacion y evaluacion de proyectos informaticos;Gabriel Baca Urbina;HD69.P75.B12;2006;;;;;;;;;;;;;;;;;;;;;
;134;Formulacion y evaluacion de proyectos informaticos;Gabriel Baca Urbina;HD69.P75.B12 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;135;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;HD69.P75.C75;2010;;;;;;;;;;;;;;;;;;;;;
;136;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;HD69.P75.C75 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;137;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;HD69.P75.C75 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;138;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;HD69.P75.C75 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;139;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;HD69.P75.C75 ej. 5;2010;;;;;;;;;;;;;;;;;;;;;
;140;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;HD69.P75.C75 ej. 7;2010;;;;;;;;;;;;;;;;;;;;;
;141;Formulacion y Evaluacion de Proyectos;Marcial Córdoba Padilla;HD69.P75.C79;2009;;;;;;;;;;;;;;;;;;;;;
;142;El arte de dirigir proyectos;Ángel Díaz Martín;HD69.P75.D67;2007;;;;;;;;;;;;;;;;;;;;;
;143;El arte de dirigir proyectos;Ángel Díaz Martín;HD69.P75.D67 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;144;El arte de dirigir proyectos;Ángel Díaz Martín;HD69.P75.D67 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;145;El arte de dirigir proyectos;Ángel Díaz Martín;HD69.P75.D67 ej. 4;2007;;;;;;;;;;;;;;;;;;;;;
;146;El arte de dirigir proyectos;Ángel Díaz Martín;HD69.P75.D67 ej. 5;2007;;;;;;;;;;;;;;;;;;;;;
;147;El arte de dirigir proyectos;Ángel Díaz Martín;HD69.P75.D67 ej. 6;2007;;;;;;;;;;;;;;;;;;;;;
;148;El arte de dirigir proyectos;Ángel Díaz Martín;HD69.P75.D67 ej. 7;2007;;;;;;;;;;;;;;;;;;;;;
;149;Direccion y Gestion de Proyectos Un enfoque práctico;Alberto Domingo Ajenjo;HD69.P75.D88;2009;;;;;;;;;;;;;;;;;;;;;
;150;"Fortalecimiento de capacidades en el uso y apropiación
 social de las tecnologías de la información
 y las comunicaciones(TIC): Aportes desde los telecentros";Jorge Mauricio Escobar Sarria;HD69.P75.E77;2012;;;;;;;;;;;;;;;;;;;;;
;151;Tecnologías de la información y la comunicación técnicas básicas;José Carlos Gallego;HD69.P75.G15;2012;;;;;;;;;;;;;;;;;;;;;
;152;Project Management utilizando Microsoft Visio y Microsoft Project;Verónica García Fronti;HD69.P75.G23;2008;;;;;;;;;;;;;;;;;;;;;
;153;Gestion de proyectos con Microsoft Project 2007;Antonio Colmenar;HD69.P75.G38;2009;;;;;;;;;;;;;;;;;;;;;
;154;Gestion de proyectos con Microsoft Project 2007;Antonio Colmenar;HD69.P75.G38 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;155;Gestion de proyectos con Microsoft Project 2007;Antonio Colmenar;HD69.P75.G38 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;156;Gestion de proyectos con Microsoft Project;Antonio Colmenar;HD69.P75.G38G;2007;;;;;;;;;;;;;;;;;;;;;
;157;La gestion de proyectos en el Peru Analisis de madurez 2015-2016;Félix Lossio;HD69.P75.L91;2016;;;;;;;;;;;;;;;;;;;;;
;158;Project 2007 Gestión de Presupuestos;Orlando Loyola Giraldo;HD69.P75.L93;2007;;;;;;;;;;;;;;;;;;;;;
;159;Project 2007 Gestión de Presupuestos;Orlando Loyola Giraldo;HD69.P75.L93 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;160;Formulacion y evaluacion de proyectos Enfoque para emprendedores;Rafael Mendez;HD69.P75.M42;2012;;;;;;;;;;;;;;;;;;;;;
;161;Formulacion y evaluacion de proyectos Enfoque para emprendedores;Rafael Mendez;HD69.P75.M42 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;162;Formulacion y evaluacion de proyectos Enfoque para emprendedores;Rafael Mendez;HD69.P75.M42 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;163;PROJECT 2003 para gente de negocios;Anonimo;HD69.P75.M89;2007;;;;;;;;;;;;;;;;;;;;;
;164;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;HD69.P75.M97 ;2009;;;;;;;;;;;;;;;;;;;;;
;165;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;HD69.P75.M97 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;166;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;HD69.P75.M97 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;167;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;HD69.P75.M97 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;168;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;HD69.P75.M97 ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;169;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;HD69.P75.M97 ej. 6;2009;;;;;;;;;;;;;;;;;;;;;
;170;Proyectos Formulacion y criterios de evaluacion;Flor Nancy Diaz P;HD69.P75.M97 ej. 7;2009;;;;;;;;;;;;;;;;;;;;;
;171;PROJECT 2007 Aplicado a la ingenieria con desarrollo de proyectos ;Cesar Oceda Samaniego;HD69.P75.O28;2007;;;;;;;;;;;;;;;;;;;;;
;172;PROJECT 2007 Aplicado a la ingenieria con desarrollo de proyectos ;Cesar Oceda Samaniego;HD69.P75.O28 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;173;Gestion de proyectos;Gesvin Romero Moreno;HD69.P75.R81;2005;;;;;;;;;;;;;;;;;;;;;
;174;Gestion de proyectos;Gestion Romero Moreno;HD69.P75.R81 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;175;Casos de Administracion General en Organizaciones que operan en el Peru - tomo XII;Isabel Miyashiro Miyashiro ;HD70.P4.C32 t.12;2002;;;;;;;;;;;;;;;;;;;;;
;176;Preparacion para la certificacion PMP Basado en la guia del PMBOK;Luis Angulo Aguirre;HD75.9.A61;2014;;;;;;;;;;;;;;;;;;;;;
;177;Guia de los fundamentos de la direccion de proyectos Guia del PMBOK;Proyect Management Institute;HD75.9.F96;2013;;;;;;;;;;;;;;;;;;;;;
;178;Guia de los fundamentos para direccion de proyectos Guia del PMBOK;Proyect Management Institute;HD75.9.F96;2004;;;;;;;;;;;;;;;;;;;;;
;179;Gestion de proyectos de E-Learning;David Roldán Martínez;HD75.9.R79;2010;;;;;;;;;;;;;;;;;;;;;
;180;Preparacion y evaluacion de proyectos;Nassir Sapag Chain;HD75.9.S22;2003;;;;;;;;;;;;;;;;;;;;;
;181;Preparacion y evaluacion de proyectos;Nassir Sapag Chain;HD75.9.S22 ej. 2;2003;;;;;;;;;;;;;;;;;;;;;
;182;Gestion de proyectos con enfoque PMI proyect y Excel;Francisco J. Toro Lopez;HD75.9.T72;2012;;;;;;;;;;;;;;;;;;;;;
;183;Proyeçtos con Lineamientos del PMI;Francisco J. Toro Lopez;HD75.9.T72 ;2017;;;;;;;;;;;;;;;;;;;;;
;184;Gestion de proyectos con enfoque PMI proyect y Excel;Francisco J. Toro Lopez;HD75.9.T72 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;185;Marketing de Servicios Personal, tecnologia y estrategia;Christopher Lovelock;HD9980.5.L93;2009;;;;;;;;;;;;;;;;;;;;;
;186;Competitividad, clusters e innovacion;Sergio A. Berumen;HF1359.B45;2009;;;;;;;;;;;;;;;;;;;;;
