;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CATALOGO DE LIBROS DE LA FISI;;;;;;;;;;;;;;;;;;;;;;;;
;Nº;TITULO;AUTOR;CLASIFICACION;AÑO;;;;;;;;;;;;;;;;;;;;;
;2599;Fisica 1 Teoría, problemas resueltos y propuestos;Humberto Leyva Naveros;QC32.L55 ej. 10;2016;;;;;;;;;;;;;;;;;;;;;
;2600;Fisica 1 Teoría, problemas resueltos y propuestos;Humberto Leyva Naveros;QC32.L55 ej. 11;2016;;;;;;;;;;;;;;;;;;;;;
;2601;Fisica 1 Teoría, problemas resueltos y propuestos;Humberto Leyva Naveros;QC32.L55 ej. 12;2016;;;;;;;;;;;;;;;;;;;;;
;2602;Fisica 1 Teoría, problemas resueltos y propuestos;Humberto Leyva Naveros;QC32.L55 ej. 13;2016;;;;;;;;;;;;;;;;;;;;;
;2603;Fisica 1 Teoría, problemas resueltos y propuestos;Humberto Leyva Naveros;QC32.L55 ej. 14;2016;;;;;;;;;;;;;;;;;;;;;
;2604;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12;2009;;;;;;;;;;;;;;;;;;;;;
;2605;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;2606;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;2607;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 4;2009;RESTAURACION;;;;;;;;;;;;;;;;;;;;
;2608;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;2609;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 6;2009;;;;;;;;;;;;;;;;;;;;;
;2610;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 7;2009;;;;;;;;;;;;;;;;;;;;;
;2611;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 8;2009;;;;;;;;;;;;;;;;;;;;;
;2612;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 9;2009;;;;;;;;;;;;;;;;;;;;;
;2613;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 10;2009;;;;;;;;;;;;;;;;;;;;;
;2614;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 11;2009;;;;;;;;;;;;;;;;;;;;;
;2615;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 12;2009;;;;;;;;;;;;;;;;;;;;;
;2616;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 13;2009;;;;;;;;;;;;;;;;;;;;;
;2617;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 14;2009;;;;;;;;;;;;;;;;;;;;;
;2618;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 15;2009;;;;;;;;;;;;;;;;;;;;;
;2619;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 16;2009;;;;;;;;;;;;;;;;;;;;;
;2620;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 17;2009;;;;;;;;;;;;;;;;;;;;;
;2621;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 18;2009;;;;;;;;;;;;;;;;;;;;;
;2622;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 19;2009;;;;;;;;;;;;;;;;;;;;;
;2623;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 20;2009;;;;;;;;;;;;;;;;;;;;;
;2624;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 21;2009;;;;;;;;;;;;;;;;;;;;;
;2625;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 22;2009;;;;;;;;;;;;;;;;;;;;;
;2626;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 23;2009;;;;;;;;;;;;;;;;;;;;;
;2627;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 24;2009;;;;;;;;;;;;;;;;;;;;;
;2628;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 25;2009;;;;;;;;;;;;;;;;;;;;;
;2629;FISICA III Teoria y problemas;Regulo A. Sabrera Alvarado;QC32.S12 ej. 26;2009;;;;;;;;;;;;;;;;;;;;;
;2630;FISICA II Teoria y problemas;Regulo A. Sabrera Alvarado, Walter Perez Terrel;QC32.S32;2009;;;;;;;;;;;;;;;;;;;;;
;2631;FISICA II Teoria y problemas;Regulo A. Sabrera Alvarado, Walter Perez Terrel;QC32.S32 ej. 2;2009;RESTAURACION;;;;;;;;;;;;;;;;;;;;
;2632;FISICA II Teoria y problemas;Regulo A. Sabrera Alvarado, Walter Perez Terrel;QC32.S32 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;2633;FISICA II Teoria y problemas;Regulo A. Sabrera Alvarado, Walter Perez Terrel;QC32.S32 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;2634;FISICA II Teoria y problemas;Regulo A. Sabrera Alvarado, Walter Perez Terrel;QC32.S32 ej. 5;2010;;;;;;;;;;;;;;;;;;;;;
;2635;FISICA II Teoria y problemas;Regulo A. Sabrera Alvarado, Walter Perez Terrel;QC32.S32 ej. 6;2010;;;;;;;;;;;;;;;;;;;;;
;2636;Fisica I Teoría y problemas;Régulo Sabrera Alvarado;QC32.S55 V.1;2010;;;;;;;;;;;;;;;;;;;;;
;2637;Electricidad y magnetismo;Edward M. Purcell;QC522.P42;2010;;;;;;;;;;;;;;;;;;;;;
;2638;Electricidad y magnetismo;Edward M. Purcell;QC522.P42 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;2639;Electricidad y magnetismo;Raymond A. Serway;QC522.S42 ;2005;;;;;;;;;;;;;;;;;;;;;
;2640;Electricidad y magnetismo;Raymond A. Serway;QC522.P42 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;2641;Electricidad y magnetismo;Raymond A. Serway;QC522.P42 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;2642;Electricidad y magnetismo;Raymond A. Serway;QC522.P42 ej. 4;2007;;;;;;;;;;;;;;;;;;;;;
;2643;Electricidad y magnetismo;Raymond A. Serway;QC522.P42 ej. 5;2008;;;;;;;;;;;;;;;;;;;;;
;2644;Curso de Electricidad General 2;Pablo Alcalde San Miguel;QC523.A37 T.2;2006;;;;;;;;;;;;;;;;;;;;;
;2645;Curso de Electricidad General 3;Pablo Alcalde San Miguel;QC523.A37 T.3;2005;;;;;;;;;;;;;;;;;;;;;
;2646;electricidad y magnetismo;Ana Favieres;QC530.E37;2000;;;;;;;;;;;;;;;;;;;;;
;2647;electricidad y magnetismo;Ana Favieres;QC530.E37 ej. 2;2000;;;;;;;;;;;;;;;;;;;;;
;2648;Diccionario Cambridge Compact English-Spanish Español-Inglés;Cambridge University Press;RPC4640.C24;2008;;;;;;;;;;;;;;;;;;;;;
;2649;Diccionario Cambridge Compact English-Spanish Español-Inglés;Cambridge University Press;RPC4640.C24 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;2650;AutoCAD 2008 paso a paso Trabajando en 2 dimensiones;Rafael Ábalos Bergillos;T385.A11;2008;;;;;;;;;;;;;;;;;;;;;
;2651;Programación de Videojuegos con OpenGL;Luke Benstead;T385.B31;2011;;;;;;;;;;;;;;;;;;;;;
;2652;Programación de Videojuegos con OpenGL;Luke Benstead;T385.B31 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;2653;Programación iOS;Joe Conway;T385.C26;2011;;;;;;;;;;;;;;;;;;;;;
;2654;AutoCAD 2015;Ing. Óscar Carranza Zavala;T385.C39;2014;;;;;;;;;;;;;;;;;;;;;
;2655;AutoCAD 2006 Curso práctico;Castell Cebolla;T385.C42;2006;;;;;;;;;;;;;;;;;;;;;
;2656;AutoCAD 2009 Avanzado;José Luis Cogollor;T385.C68;2009;;;;;;;;;;;;;;;;;;;;;
;2657;AutoCAD 2009 Avanzado;José Luis Cogollor;T385.C68 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;2658;AutoCAD 2009 Avanzado;José Luis Cogollor;T385.C68 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;2659;Revit Architecture 2012;Milton Chanes;T385.CH36R;2012;;;;;;;;;;;;;;;;;;;;;
;2660;Tecnología digital y realidad virtual;Juan José Domínguez;T385.D88;2011;;;;;;;;;;;;;;;;;;;;;
;2661;AutoCAD 2008 Para Ingenieros y Arquitectos;Ing. Juan Carlos Garcia Corzo;T385.G23;2007;;;;;;;;;;;;;;;;;;;;;
;2662;AutoCAD 2008 Para Ingenieros y Arquitectos;Ing. Juan Carlos Garcia Corzo;T385.G23 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;2663;AutoCAD 2008 Para Ingenieros y Arquitectos;Ing. Juan Carlos Garcia Corzo;T385.G23 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;2664;AutoCAD 2008 Para Ingenieros y Arquitectos;Ing. Juan Carlos Garcia Corzo;T385.G23 ej. 4;2007;;;;;;;;;;;;;;;;;;;;;
;2665;Solid Edge ST Tradicional y síncrono;Rafael Gutiérrez Olivar;T385.G55;2010;;;;;;;;;;;;;;;;;;;;;
;2666;Powerpoint Office 2003 Guía Rápida;A. González Mangas;T385.G71;2005;;;;;;;;;;;;;;;;;;;;;
;2667;autoCAD ;Edward Jhon Guevara Arias;T385.G88;2006;;;;;;;;;;;;;;;;;;;;;
;2668;autoCAD ;Edward Jhon Guevara Arias;T385.G88 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;2669;autoCAD ;Edward Jhon Guevara Arias;T385.G88 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;2670;AutoCAD 2008 3D y Espacio Papel;Ferney E. Gutiérrez;T385.G96;2007;;;;;;;;;;;;;;;;;;;;;
;2671;AutoCAD 2009 2 y 3 Dimensiones - Guía Visual;Ferney E. Gutiérrez;T385.G96A;2009;;;;;;;;;;;;;;;;;;;;;
;2672;Gráficos por computadora con OpenGL;Donald Hearn;T385.H31;2006;;;;;;;;;;;;;;;;;;;;;
;2673;Gráficos por computadora con OpenGL;Donald Hearn;T385.H31 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;2674;Gráficos por computadora con OpenGL;Donald Hearn;T385.H31 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;2675;Gráficos por computadora con OpenGL;Donald Hearn;T385.H31 ej. 4;2006;;;;;;;;;;;;;;;;;;;;;
;2676;Core Data para iOs Programación;Tim Isted;T385.I26;2011;;;;;;;;;;;;;;;;;;;;;
;2677;Core Data para iOs Programación;Tim Isted;T385.I26 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;2678;Core Data para iOs Programación;Tim Isted;T385.I26 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;2679;Corel Draw X3 La Biblia Diseño Vectorial;Hernan Laureano Ricapa;T385.L29;2006;;;;;;;;;;;;;;;;;;;;;
;2680;Corel Draw X3 La Biblia Diseño Vectorial;Hernan Laureano Ricapa;T385.L29 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;2681;AutoCAD 2005 Avanzado Guía rápida;J. López Fernández;T385.L87;2005;;;;;;;;;;;;;;;;;;;;;
;2682;AutoCAD Architecture 2009 Manual avanzado;Fernando Montaño la Cruz;T385.M23;2009;;;;;;;;;;;;;;;;;;;;;
;2683;El gran libro de AutoCAD 2007;MEDIAactive;T385.M36;2007;;;;;;;;;;;;;;;;;;;;;
;2684;AutoCAD 2009 Paso a Paso;Raúl Morueco Gómez;T385.M86;2009;;;;;;;;;;;;;;;;;;;;;
;2685;AuroCAD Land 2009;Henry Patigoso Loza;T385.P23;2009;;;;;;;;;;;;;;;;;;;;;
;2686;Corel DRAW X4;Paul Paredes Bruno;T385.P26;2009;;;;;;;;;;;;;;;;;;;;;
;2687;AutoCAD 2010 Para todos;Ing. Wilson Quezada Cerna;T385.Q39;2009;;;;;;;;;;;;;;;;;;;;;
;2688;AutoCAD 2009 Para todos;Ing. Wilson Quezada Cerna;T385.Q39A;2008;;;;;;;;;;;;;;;;;;;;;
;2689;AutoCAD 2008 Para todos;Ing. Wilson Quezada Cerna;T385.Q39U;2007;;;;;;;;;;;;;;;;;;;;;
;2690;AutoCAD 2007;Ing. José Luis Germán Reynoso Zarate;T385.R47;2007;;;;;;;;;;;;;;;;;;;;;
;2691;AutoCAD 2008;Ing. José Luis Germán Reynoso Zarate;T385.R47;2008;;;;;;;;;;;;;;;;;;;;;
;2692;AutoCAD 2008;Ing. José Luis Germán Reynoso Zarate;T385.R47 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;2693;AutoCAD 2008;Ing. José Luis Germán Reynoso Zarate;T385.R47 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;2694;AutoCAD 2010;Ing. José Luis Germán Reynoso Zarate;T385.R47 ;2009;;;;;;;;;;;;;;;;;;;;;
;2695;AutoCAD 2010;Ing. José Luis Germán Reynoso Zarate;T385.R47 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;2696;AutoCAD 2010 Manual Imprescindible;Antonio Manuel Reyes Rodríguez;T385.R473;2010;;;;;;;;;;;;;;;;;;;;;
;2697;AutoCAD 2008 Para arquitectos e ingenieros;Detlef Ridder;T385.R55;2008;;;;;;;;;;;;;;;;;;;;;
;2698;La Ruta Práctica a Visio 2003 Aprenda Paso a Paso;Macro;T385.R97;2007;;;;;;;;;;;;;;;;;;;;;
;2699;La Ruta Práctica a Visio 2003 Aprenda Paso a Paso;Macro;T385.R97 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;2700;AutoCAD 2005 Avanzado;J. López Fernández;T385.T15A;2004;;;;;;;;;;;;;;;;;;;;;
;2701;"Personalización y Programación avanzada con AutoCAD 2007 Diseño 
y Desarrollo de Proyectos para Ingenieros";Olger Ugarte Contreras;T385.U24;2006;;;;;;;;;;;;;;;;;;;;;
;2702;"Personalización y Programación avanzada con AutoCAD 2007 Diseño 
y Desarrollo de Proyectos para Ingenieros";Olger Ugarte Contreras;T385.U24 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;2703;"Gerenciamiento de Proyectos utilizando
 Microsoft Excel y Microsoft Project";Julian Salvarredy;T56.8.S18;2008;;;;;;;;;;;;;;;;;;;;;
;2704;"Gerenciamiento de proyectos utilizando
 Microsoft Excel y Microsoft Project";Julian Salvarredy;T56.8.S18;2007;;;;;;;;;;;;;;;;;;;;;
;2705;"Gerenciamiento de proyectos 2 Herramientas 
en Microsoft Excel y Microsoft Project";Julian Salvarredy;T56.8.S18G;2008;;;;;;;;;;;;;;;;;;;;;
;2706;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54;2006;;;;;;;;;;;;;;;;;;;;;
;2707;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;2708;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;2709;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54;2010;;;;;;;;;;;;;;;;;;;;;
;2710;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;2711;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;2712;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;2713;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54 ej. 5;2010;;;;;;;;;;;;;;;;;;;;;
;2714;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54 ej. 6;2010;;;;;;;;;;;;;;;;;;;;;
;2715;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54 ej. 7;2010;;;;;;;;;;;;;;;;;;;;;
;2716;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54 ej. 8;2010;;;;;;;;;;;;;;;;;;;;;
;2717;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54 ej. 9;2010;;;;;;;;;;;;;;;;;;;;;
;2718;Introducción a la Investigación de Operaciones;Frederick S. Hillier;T57.6.H54 ej. 10;2010;;;;;;;;;;;;;;;;;;;;;
;2719;Investigación de operaciones;Frederick S. Hillier;T57.6.H54;2015;;;;;;;;;;;;;;;;;;;;;
;2720;Investigación de operaciones;Frederick S. Hillier;T57.6.H54 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;2721;Investigación de operaciones;Frederick S. Hillier;T57.6.H54 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;2722;Investigación de operaciones;Frederick S. Hillier;T57.6.H54 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;2723;Investigación operativa Problemas y ejercicios resueltos;Quintín Martín Martín;T57.6.M54;2005;;;;;;;;;;;;;;;;;;;;;
;2724;Investigación operativa Problemas y ejercicios resueltos;Quintín Martín Martín;T57.6.M54 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;2725;Investigación operativa Problemas y ejercicios resueltos;Quintín Martín Martín;T57.6.M54 ej. 3;2005;;;;;;;;;;;;;;;;;;;;;
;2726;Investigación operativa Problemas y ejercicios resueltos;Quintín Martín Martín;T57.6.M54 ej. 4;2005;;;;;;;;;;;;;;;;;;;;;
;2727;Investigación de Operaciones;Hamdy A. Taha;T57.6.T14;2004;;;;;;;;;;;;;;;;;;;;;
;2728;Investigación de Operaciones;Hamdy A. Taha;T57.6.T14 ej. 2;2004;;;;;;;;;;;;;;;;;;;;;
;2729;Investigación de Operaciones;Hamdy A. Taha;T57.6.T14 ej. 3;2004;;;;;;;;;;;;;;;;;;;;;
;2730;Investigación de Operaciones;Hamdy A. Taha;T57.6.T14 ej. 4;2004;;;;;;;;;;;;;;;;;;;;;
;2731;Investigación de Operaciones;Hamdy A. Taha;T57.6.T14 ;2012;;;;;;;;;;;;;;;;;;;;;
;2732;Investigación de Operaciones;Hamdy A. Taha;T57.6.T14 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;2733;Investigación de Operaciones;Hamdy A. Taha;T57.6.T14 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;2734;Investigación de Operaciones Aplicaciones y algoritmos;Wayne L. Winston;T57.6.W71;2005;;;;;;;;;;;;;;;;;;;;;
;2735;Investigación de Operaciones Aplicaciones y algoritmos;Wayne L. Winston;T57.6.W71 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;2736;Investigación de Operaciones Aplicaciones y algoritmos;Wayne L. Winston;T57.6.W71 ej. 3;2005;;;;;;;;;;;;;;;;;;;;;
;2737;Investigación de Operaciones Aplicaciones y algoritmos;Wayne L. Winston;T57.6.W71 ej. 4;2005;;;;;;;;;;;;;;;;;;;;;
;2738;Investigación de Operaciones Aplicaciones y algoritmos;Wayne L. Winston;T57.6.W71 ej. 5;2005;;;;;;;;;;;;;;;;;;;;;
;2739;Investigación de Operaciones Aplicaciones y algoritmos;Wayne L. Winston;T57.6.W71 ej. 6;2005;;;;;;;;;;;;;;;;;;;;;
;2740;Investigación de Operaciones Aplicaciones y algoritmos;Wayne L. Winston;T57.6.W71 ej. 7;2005;;;;;;;;;;;;;;;;;;;;;
;2741;Investigación de Operaciones Aplicaciones y algoritmos;Wayne L. Winston;T57.6.W71 ej. 8;2005;;;;;;;;;;;;;;;;;;;;;
;2742;Investigación de Operaciones Aplicaciones y algoritmos;Wayne L. Winston;T57.6.W71 ej. 9;2005;;;;;;;;;;;;;;;;;;;;;
;2743;Investigación de Operaciones Aplicaciones y algoritmos;Wayne L. Winston;T57.6.W71 ej. 10;2005;;;;;;;;;;;;;;;;;;;;;
;2744;"Modelado y simulacion Aplicacion a procesos logisticos
 de fabricacion y servicios";Antoni Guasch;T57.62.M68;2005;;;;;;;;;;;;;;;;;;;;;
;2745;"Modelado y simulacion Aplicacion a procesos logisticos 
de fabricacion y servicios";Antoni Guasch;T57.62.M68 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;2746;"Modelado y Simulación de Redes de Computadoras 
Aplicación de QoS con Opnet Modeler";José Márquez Díaz;T57.62.M68C;2013;;;;;;;;;;;;;;;;;;;;;
;2747;Modelación y Simulación con SIMIO;Eduardo Raffo Lecca;T57.62.R16;2012;;;;;;;;;;;;;;;;;;;;;
;2748;Modelación y Simulación con SIMIO;Eduardo Raffo Lecca;T57.62.R16 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;2749;Modelación y Simulación con SIMIO;Eduardo Raffo Lecca;T57.62.R16 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;2750;Modelación y Simulación con SIMIO;Eduardo Raffo Lecca;T57.62.R16 ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;2751;Modelación y Simulación con SIMIO;Eduardo Raffo Lecca;T57.62.R16 ej. 5;2012;;;;;;;;;;;;;;;;;;;;;
;2752;Modelación y Simulación con SIMIO;Eduardo Raffo Lecca;T57.62.R16 ej. 6;2012;;;;;;;;;;;;;;;;;;;;;
;2753;Modelación y Simulación con SIMIO;Eduardo Raffo Lecca;T57.62.R16 ej. 7;2012;;;;;;;;;;;;;;;;;;;;;
;2754;Modelación y Simulación con SIMIO;Eduardo Raffo Lecca;T57.62.R16 ej. 8;2012;;;;;;;;;;;;;;;;;;;;;
;2755;Modelación y Simulación con SIMIO;Eduardo Raffo Lecca;T57.62.R16 ej. 9;2012;;;;;;;;;;;;;;;;;;;;;
;2756;Programación Lineal y Flujo en Redes;Bazaraa;T57.74.B28;2007;;;;;;;;;;;;;;;;;;;;;
;2757;Programación Lineal y Flujo en Redes;Bazaraa;T57.74.B28 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;2758;Programación Lineal y Flujo en Redes;Bazaraa;T57.74.B28 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;2759;Teoría de Colas y Simulación de Eventos Discretos;José Juan Pazos Arias;T57.9.P33;2003;;;;;;;;;;;;;;;;;;;;;
;2760;Teoría de Colas y Simulación de Eventos Discretos;José Juan Pazos Arias;T57.9.P33 ej. 2;2003;;;;;;;;;;;;;;;;;;;;;
;2761;Actúa con Inteligencia en la Era Digital;Núria Almiron;T58.5.A41;2000;;;;;;;;;;;;;;;;;;;;;
;2762;"Inteligencia Colectiva. Desarrollo de aplicaciones
 Web 2.0 Técnicas para la extracción y aprovechamiento de datos";Toby Segaran;T58.5.S41;2008;;;;;;;;;;;;;;;;;;;;;
;2763;La era digital Cómo la generación net está transformando al mundo;Don Tapscott;T58.5.T21;2009;;;;;;;;;;;;;;;;;;;;;
;2764;Administración avanzada de sistemas informáticos;Julio Gómez López;T58.6.A24;2010;;;;;;;;;;;;;;;;;;;;;
;2765;Administración avanzada de sistemas informáticos;Julio Gómez López;T58.6.A24 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;2766;Administración avanzada de sistemas informáticos;Julio Gómez López;T58.6.A24 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;2767;Administración avanzada de sistemas informáticos;Julio Gómez López;T58.6.A24 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;2768;Administración avanzada de sistemas informáticos;Julio Gómez López;T58.6.A24 ej. 5;2010;;;;;;;;;;;;;;;;;;;;;
;2769;Administración avanzada de sistemas informáticos;Julio Gómez López;T58.6.A24 ej. 6;2010;;;;;;;;;;;;;;;;;;;;;
;2770;Administración avanzada de sistemas informáticos;Julio Gómez López;T58.6.A24 ej. 7;2010;;;;;;;;;;;;;;;;;;;;;
;2771;Administración avanzada de sistemas informáticos;Julio Gómez López;T58.6.A24 ej. 8;2010;;;;;;;;;;;;;;;;;;;;;
;2772;Administración avanzada de sistemas informáticos;Julio Gómez López;T58.6.A24 ej. 9;2010;;;;;;;;;;;;;;;;;;;;;
;2773;"Sistemas de Información Gerenciales Hardware, 
Software, Redes , Internet, Diseño";Jairo Amaya Amaya;T58.6.A52;2010;;;;;;;;;;;;;;;;;;;;;
;2774;Proyectis de Sistemas de Informacion;Gabriel Baca Urbina;T58.6.B12P;2015;;;;;;;;;;;;;;;;;;;;;
;2775;Investigación en la Gestión Empresarial;Lilia Teresa Bermúdez C;T58.6.B45I;2015;;;;;;;;;;;;;;;;;;;;;
;2776;"Sistemas de Información Herramientas 
prácticas para la gestión empresarial 3ra Edicion ampliada y actualizada";Alvaro Gomez Vieites;T58.6.G64;2010;;;;;;;;;;;;;;;;;;;;;
;2777;"Sistemas de Información Herramientas 
prácticas para la gestión empresarial 3ra Edicion ampliada y actualizada";Alvaro Gomez Vieites;T58.6.G64 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;2778;"Sistemas de Información Herramientas
 prácticas para la gestión empresarial 2da Edicion Ampliada y Actualizada";Alvaro Gomez Vieites;T58.6.G64 ;2007;;;;;;;;;;;;;;;;;;;;;
;2779;"Sistemas de Información Herramientas
 prácticas para la gestión empresarial 2da Edicion Ampliada y Actualizada";Alvaro Gomez Vieites;T58.6.G64 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;2780;"Sistemas de Información Herramientas
 prácticas para la gestión empresarial 2da Edicion Ampliada y Actualizada";Alvaro Gomez Vieites;T58.6.G64 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;2781;"Sistemas de Información Herramientas
 prácticas para la gestión empresarial 2da Edicion Ampliada y Actualizada";Álvaro Gómez Vieties;T58.6.G64 ej. 4;2007;;;;;;;;;;;;;;;;;;;;;
;2782;"Sistemas de Información Herramientas
 prácticas para la gestión empresarial 2da Edicion Ampliada y Actualizada";Álvaro Gómez Vieties;T58.6.G64 ej. 5;2007;;;;;;;;;;;;;;;;;;;;;
;2783;"Sistemas de información Herramientas 
prácticas para la gestión empresarial 4ta Edicion ampliada y actualizada";Alvaro Gomez Vieites;T58.6.G64 ;2012;;;;;;;;;;;;;;;;;;;;;
;2784;"Sistemas de Informacion en la Empresa
 El impacto de la nube, la movilidad y los medios sociales";Luis Joyanes Aguilar;T58.6.J79S;2015;;;;;;;;;;;;;;;;;;;;;
;2785;"Sistemas de Informacion en la Empresa 
El impacto de la nube, la movilidad y los medios sociales";Luis Joyanes Aguilar;T58.6.J79S ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;2786;"Sistemas de Informacion en la Empresa 
El impacto de la nube, la movilidad y los medios sociales";Luis Joyanes Aguilar;T58.6.J79S ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;2787;"Sistemas de Informacion en la Empresa
 El impacto de la nube, la movilidad y los medios sociales";Luis Joyanes Aguilar;T58.6.J79S ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;2788;"Sistemas de Informacion en la Empresa 
El impacto de la nube, la movilidad y los medios sociales";Luis Joyanes Aguilar;T58.6.J79S ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;2789;"Sistemas de Información Gerencial Administración
 de la Empresa Digital";Kenneth C. Laudon;T58.6.L29;2008;;;;;;;;;;;;;;;;;;;;;
;2790;Sistemas de Información Gerencial;Kenneth C. Laudon;T58.6.L29 ;2012;;;;;;;;;;;;;;;;;;;;;
